, asshole,23
, trump ,8898
, clinton,519
, gay ,53
, islam ,36
, fuck,276
, racist,221
, obama,518
, idiot,84
, president ,4041
, DNC ,79
, fail,61
, liberal,171
, homophobe,3
, unity ,48
, damn,37
, protest ,2016
, great,185
, proud ,71
, election ,731
, republican ,89
, democrat ,152
, conservative ,34
, isis ,40
, ashamed ,12
, happy ,26
, hate,438
,  kill ,26
, unite,110
, impeach ,72
, rigged ,26
, muslim ,81
,  sad ,49
, homophobic ,15
,  wall,56
, racism ,98
, shit,143
, misogyn ,23
,swear words,479
